Reference,ep-headnote,ep-headnote-language,ep-catchword,ep-catchword-language,Case Code,Country,Appeal Number,Year
D000003DP1,"[DE] Bei der sachlichen Bewertung seiner Prüfungsarbeit hat ein Bewerber nicht per se für jede Antwort auf eine Teilfrage oder ein Teilelement einer Prüfungsaufgabe Anspruch auf die höchste von einem der Prüfer vergebene Punktezahl, wenn die beiden Ausschußmitglieder (Prüfer), die die Arbeit nach Artikel 8 b) VEP bewertet haben, in ihrer Bewertung einer solchen Teilfrage oder eines solchen Teilelements voneinander abweichen (Nr. 3 der Entscheidungsgründe).",DE,,None,D,EP,0003,2000
D000003EP1,[EN] As regards the evaluation of the merits of a candidate's answer to an examination paper a candidate is not per se entitled to claim for each answer to a sub-question or sub-element of an examination paper the highest mark awarded by one of the examiners whenever the two committee members (examiners) who have marked the answer in accordance with Article 8(b) REE differ in their marking of such a sub-question or sub-element (point 3. of the reasons).,EN,,None,D,EP,0003,2000
D000003EX1,[EN] Headnote: As regards the evaluation of the merits of a candidate's answer to an examination paper a candidate is not per se entitled to claim for each answer to a sub-question or sub-element of an examination paper the highest mark awarded by one of the examiners whenever the two committee members (examiners) who have marked the answer in accordance with Article 8(b) REE differ in their marking of such a sub-question or sub-element (point 3. of the reasons).,EN,,None,D,EP,0003,2000
D000003FP1,"[FR] Concernant l'évaluation de la qualité d'une copie dans une épreuve d'examen, le candidat n'est pas, en soi, en droit de revendiquer, pour chaque réponse donnée à une sous-question ou à une sous- partie d'une épreuve d'examen, la note la plus élevée attribuée par l'un des examinateurs, lorsque les deux membres de la commission (examinateurs) qui ont noté la copie conformément à l'article 8 b) REE ont attribué des notes différentes à cette sous- question ou à cette sous-partie de l'examen (voir point 3 de l'exposé des motifs).",FR,,None,D,EP,0003,2000
D020010DP1,"[DE] Eines der grundlegenden Prinzipien eines fairen Verfahrens ist das Prinzip der Rechtssicherheit, d. h. die Möglichkeit der Parteien, im voraus die Grundregeln eines Verfahrens feststellen zu können. Die Bestellung eines dritten Prüfers ohne eine Grundlage in den VEP oder den Ausführungsbestimmungen ist als schwerwiegender Verfahrensfehler zu beurteilen.",DE,,None,D,EP,0010,2002
D020010EP1,"[EN] One of the fundamental principles of a fair procedure is legal certainty, ie the right of parties to a procedure to know its basic rules in advance. The appointment of a third examiner without any basis in the REE or its implementing provisions must be deemed a substantial procedural violation.",EN,,None,D,EP,0010,2002
D020010FP1,"[FR] L'un des principes fondamentaux d'une procédure équitable est le principe de la sécurité juridique, c'est-à-dire la possibilité pour les parties de connaître à l'avance les règles de base de la procédure. La nomination d'un troisième examinateur, en l'absence de fondement dans le REE ou ses dispositions d'exécution, doit être considérée comme un vice substantiel de procédure.",FR,,None,D,EP,0010,2002
D050007DP1,"[DE] I. Unter Einzelheiten zur Notengebung im Sinne von Regel 6 (1) der Ausführungsbestimmungen zu den Vorschriften über die europäische Eignungsprüfung für zugelassene Vertreter (VEP) sind eine hinreichende Unterteilung der möglichen Maximalpunktzahl und der für den Bewerber vergebenen Gesamtpunktzahl in Unterpunkte zu verstehen und die Angabe, für welche Sachverhaltskomplexe, bzw. rechtliche Fragestellungen diese Unterpunkte vergeben wurden (Nr. 9 der Entscheidungsgründe). II. Bei der Erstellung von Bewertungsvorlagen durch die Prüfungsorgane ist eine Abwägung erforderlich zwischen dem Zweck, eine gleichmäßige Bewertung der Bewerber zu gewährleisten (Artikel 16 VEP) und andererseits der Notwendigkeit, auch eine gerechte Bewertung von vom Schema abweichenden, aber dennoch zumindest vertretbaren und kompetent begründeten Antworten zu ermöglichen. Die Bewertungsvorlagen müssen deshalb gewisse Spielräume lassen und - lediglich - hinreichend detailliert sein, um als Einzelheiten zur Notengebung im Sinne von Regel 6 (1) der Ausführungsbestimmungen den Bewerbern anhand der veröffentlichten oder zugänglich gemachten Texte die Nachprüfung zu erlauben, ob bei der Bewertung ihrer Arbeiten gegen Bewertungsgrundsätze verstoßen wurde, deren Einhaltung von der Kammer überprüft werden kann (Nr. 13 der Entscheidungsgründe). III. Zur Frage, ob das Fehlen einer über Regel 6 (1) der Ausführungsbestimmungen zu den VEP hinausgehenden Verpflichtung zur Begründung einer negativen Prüfungsentscheidung gegen höherrangige Rechtsgrundsätze verstößt (Nrn. 25 ff. der Entscheidungsgründe).",DE,,None,D,EP,0007,2005
D050007DU1,"[DE] I. Unter Einzelheiten zur Notengebung im Sinne von Regel 6 (1) der Ausführungsbestimmungen zu den Vorschriften über die europäische Eignungsprüfung für zugelassene Vertreter (VEP) sind eine hinreichende Unterteilung der möglichen Maximalpunktzahl und der für den Bewerber vergebenen Gesamtpunktzahl in Unterpunkte zu verstehen und die Angabe, für welche Sachverhaltskomplexe, bzw. rechtliche Fragestellungen diese Unterpunkte vergeben wurden (Nr. 9 der Entscheidungsgründe). II. Bei der Erstellung von Bewertungsvorlagen durch die Prüfungsorgane ist eine Abwägung erforderlich zwischen dem Zweck, eine gleichmäßige Bewertung der Bewerber zu gewährleisten (Artikel 16 VEP) und andererseits der Notwendigkeit, auch eine gerechte Bewertung von vom Schema abweichenden, aber dennoch zumindest vertretbaren und kompetent begründeten Antworten zu ermöglichen. Die Bewertungsvorlagen müssen deshalb gewisse Spielräume lassen und - lediglich - hinreichend detailliert sein, um als Einzelheiten zur Notengebung im Sinne von Regel 6 (1) der Ausführungsbestimmungen den Bewerbern anhand der veröffentlichten oder zugänglich gemachten Texte die Nachprüfung zu erlauben, ob bei der Bewertung ihrer Arbeiten gegen Bewertungsgrundsätze verstoßen wurde, deren Einhaltung von der Kammer überprüft werden kann (Nr. 13 der Entscheidungsgründe). III. Zur Frage, ob das Fehlen einer über Regel 6 (1) der Ausführungsbestimmungen zu den VEP hinausgehenden Verpflichtung zur Begründung einer negativen Prüfungsentscheidung gegen höherrangige Rechtsgrundsätze verstößt (Nrn. 25 ff. der Entscheidungsgründe).",DE,,None,D,EP,0007,2005
D050007DX1,"[DE] I. Unter Einzelheiten zur Notengebung im Sinne von Regel 6 (1) der Ausführungsbestimmungen zu den Vorschriften über die europäische Eignungsprüfung für zugelassene Vertreter (VEP) sind eine hinreichende Unterteilung der möglichen Maximalpunktzahl und der für den Bewerber vergebenen Gesamtpunktzahl in Unterpunkte zu verstehen und die Angabe, für welche Sachverhaltskomplexe, bzw. rechtliche Fragestellungen diese Unterpunkte vergeben wurden (Nr. 9 der Entscheidungsgründe). II. Bei der Erstellung von Bewertungsvorlagen durch die Prüfungsorgane ist eine Abwägung erforderlich zwischen dem Zweck, eine gleichmäßige Bewertung der Bewerber zu gewährleisten (Artikel 16 VEP) und andererseits der Notwendigkeit, auch eine gerechte Bewertung von vom Schema abweichenden, aber dennoch zumindest vertretbaren und kompetent begründeten Antworten zu ermöglichen. Die Bewertungsvorlagen müssen deshalb gewisse Spielräume lassen und - lediglich - hinreichend detailliert sein, um als Einzelheiten zur Notengebung im Sinne von Regel 6 (1) der Ausführungsbestimmungen den Bewerbern anhand der veröffentlichten oder zugänglich gemachten Texte die Nachprüfung zu erlauben, ob bei der Bewertung ihrer Arbeiten gegen Bewertungsgrundsätze verstoßen wurde, deren Einhaltung von der Kammer überprüft werden kann (Nr. 13 der Entscheidungsgründe). III. Zur Frage, ob das Fehlen einer über Regel 6 (1) der Ausführungsbestimmungen zu den VEP hinausgehenden Verpflichtung zur Begründung einer negativen Prüfungsentscheidung gegen höherrangige Rechtsgrundsätze verstößt (Nrn. 25 ff. der Entscheidungsgründe).",DE,,None,D,EP,0007,2005
